sz,000662,*ST索芙
sz,000663,永安林业
sz,000665,湖北广电
sz,000666,经纬纺机
sz,000667,名流置业
sz,000668,荣丰控股
sz,000669,领先科技
sz,000670,S*ST天发
sz,000671,阳 光 城
sz,000673,ST当代
sz,000676,ST思达
sz,000677,*ST海龙
sz,000678,襄阳轴承
sz,000679,大连友谊
sz,000680,山推股份
sz,000681,*ST远东
sz,000682,东方电子
sz,000683,远兴能源
sz,000685,中山公用
sz,000686,东北证券
sz,000687,保定天鹅
sz,000690,宝新能源
sz,000691,亚太实业
sz,000692,惠天热电
sz,000695,滨海能源
sz,000697,炼石有色
sz,000698,沈阳化工
sz,000700,模塑科技
sz,000701,厦门信达
sz,000702,正虹科技
sz,000703,恒逸石化
sz,000705,浙江震元
sz,000707,双环科技
sz,000708,大冶特钢
sz,000709,河北钢铁
sz,000710,天兴仪表
sz,000711,天伦置业
sz,000712,锦龙股份
sz,000713,丰乐种业
sz,000715,中兴商业
sz,000716,南方食品
sz,000717,*ST韶钢
sz,000718,苏宁环球
sz,000719,大地传媒
sz,000720,*ST能山
sz,000721,西安饮食
sz,000722,湖南发展
sz,000723,美锦能源
sz,000725,京东方Ａ
sz,000726,鲁  泰Ａ
sz,000727,华东科技
sz,000728,国元证券
sz,000729,燕京啤酒
sz,000731,四川美丰
sz,000732,泰禾集团
sz,000733,振华科技
sz,000735,罗 牛 山
sz,000736,中房地产
sz,000737,南风化工
sz,000738,中航动控
sz,000739,普洛股份
sz,000748,长城信息
sz,000750,国海证券
sz,000751,*ST锌业
sz,000752,西藏发展
sz,000753,漳州发展
sz,000755,山西三维
sz,000756,新华制药
sz,000757,*ST浩物
sz,000758,中色股份
sz,000759,中百集团
sz,000760,博盈投资
sz,000761,本钢板材
sz,000762,西藏矿业
sz,000766,通化金马
sz,000767,*ST漳电
sz,000768,中航飞机
sz,000776,广发证券
sz,000777,中核科技
sz,000778,新兴铸管
sz,000779,三毛派神
sz,000780,平庄能源
sz,000782,美达股份
sz,000783,长江证券
sz,000785,武汉中商
sz,000786,北新建材
sz,000788,西南合成
sz,000789,江西水泥
sz,000790,华神集团
sz,000791,甘肃电投
sz,000792,盐湖股份
sz,000793,华闻传媒
sz,000795,太原刚玉
sz,000796,易食股份
sz,000797,中国武夷
sz,000798,中水渔业
sz,000799,酒 鬼 酒
sz,000800,一汽轿车
sz,000801,四川九洲
sz,000802,北京旅游
sz,000803,金宇车城
sz,000806,*ST银河
sz,000807,云铝股份
sz,000809,铁岭新城
sz,000810,华润锦华
sz,000811,烟台冰轮
sz,000812,陕西金叶
sz,000813,天山纺织
sz,000815,*ST美利
sz,000816,江淮动力
sz,000818,方大化工
sz,000819,岳阳兴长
sz,000821,京山轻机
sz,000822,山东海化
sz,000823,超声电子
sz,000825,太钢不锈
sz,000826,桑德环境
sz,000828,东莞控股
sz,000829,天音控股
sz,000830,鲁西化工
sz,000831,*ST关铝
sz,000833,贵糖股份
sz,000835,四川圣达
sz,000836,鑫茂科技
sz,000837,秦川发展
sz,000838,*ST国兴
sz,000839,中信国安
sz,000848,承德露露
sz,000850,华茂股份
sz,000851,高鸿股份
sz,000852,江钻股份
sz,000856,冀东装备
sz,000858,五 粮 液
sz,000859,国风塑业
sz,000860,顺鑫农业
sz,000861,海印股份
sz,000862,银星能源
sz,000863,三湘股份
sz,000868,安凯客车
sz,000869,张  裕Ａ
sz,000875,吉电股份
sz,000876,新 希 望
sz,000877,天山股份
sz,000878,云南铜业
sz,000880,潍柴重机
sz,000881,大连国际
sz,000882,华联股份
sz,000883,湖北能源
sz,000885,同力水泥
sz,000886,海南高速
sz,000887,中鼎股份
sz,000888,峨眉山Ａ
sz,000889,渤海物流
sz,000890,法 尔 胜
sz,000892,*ST星美
sz,000893,东凌粮油
sz,000895,双汇发展
sz,000897,津滨发展
sz,000898,鞍钢股份
sz,000899,*ST赣能
sz,000900,现代投资
sz,000901,航天科技
sz,000902,中国服装
sz,000903,云内动力
sz,000905,厦门港务
sz,000906,物产中拓
sz,000908,ST天一
sz,000909,数源科技
sz,000910,大亚科技
sz,000911,南宁糖业
sz,000912,泸 天 化
sz,000913,钱江摩托
sz,000915,山大华特
sz,000916,华北高速
sz,000917,电广传媒
sz,000918,嘉凯城
sz,000919,金陵药业
sz,000920,南方汇通
sz,000921,ST 科 龙
sz,000922,佳电股份
sz,000923,河北宣工
sz,000925,众合机电
sz,000926,福星股份
sz,000927,一汽夏利
sz,000928,中钢吉炭
sz,000929,兰州黄河
sz,000930,中粮生化
sz,000931,中 关 村
sz,000932,华菱钢铁
sz,000933,神火股份
sz,000935,四川双马
sz,000936,华西股份
sz,000937,冀中能源
sz,000938,紫光股份
sz,000939,凯迪电力
sz,000948,南天信息
sz,000949,新乡化纤
sz,000950,建峰化工
sz,000951,中国重汽
sz,000952,广济药业
sz,000953,ST河化
sz,000955,ST欣龙
sz,000957,中通客车
sz,000958,ST东热
sz,000959,首钢股份
sz,000960,锡业股份
sz,000961,中南建设
sz,000962,东方钽业
sz,000963,华东医药
sz,000965,天保基建
sz,000966,长源电力
sz,000967,上风高科
sz,000968,煤 气 化
sz,000969,安泰科技
sz,000970,中科三环
sz,000971,ST迈亚
sz,000972,*ST中基
sz,000973,佛塑科技
sz,000975,科 学 城
sz,000976,春晖股份
sz,000977,浪潮信息
sz,000978,桂林旅游
sz,000979,中弘股份
sz,000980,金马股份
sz,000981,银亿股份
sz,000982,中银绒业
sz,000983,西山煤电
sz,000985,大庆华科
sz,000987,广州友谊
sz,000988,华工科技
sz,000989,九 芝 堂
sz,000990,诚志股份
sz,000993,闽东电力
sz,000995,ST皇台
sz,000996,中国中期
sz,000997,新 大 陆
sz,000998,隆平高科
sz,000999,华润三九
sz,001696,宗申动力
sz,001896,豫能控股
sz,002001,新 和 成
sz,002002,金材股份
sz,002003,伟星股份
sz,002004,华邦颖泰
sz,002005,德豪润达
sz,002006,精功科技
sz,002007,华兰生物
sz,002008,大族激光
sz,002009,天奇股份
sz,002010,传化股份
sz,002011,盾安环境
sz,002012,凯恩股份
sz,002013,中航精机
sz,002014,永新股份
sz,002015,霞客环保
sz,002016,世荣兆业
sz,002017,东信和平
sz,002018,华星化工
sz,002019,*ST鑫富
sz,002020,京新药业
sz,002021,中捷股份
sz,002022,科华生物
sz,002023,海特高新
sz,002024,苏宁电器
sz,002025,航天电器
sz,002026,山东威达
sz,002027,七喜控股
sz,002028,思源电气
sz,002029,七 匹 狼
sz,002030,达安基因
sz,002031,巨轮股份
sz,002032,苏 泊 尔
sz,002033,丽江旅游
sz,002034,美 欣 达
sz,002035,华帝股份
sz,002036,宜科科技
sz,002037,久联发展
sz,002038,双鹭药业
sz,002039,黔源电力
sz,002040,南 京 港
sz,002041,登海种业
sz,002042,华孚色纺
sz,002043,兔 宝 宝
sz,002044,江苏三友
sz,002045,国光电器
sz,002046,轴研科技
sz,002047,成霖股份
sz,002048,宁波华翔
sz,002049,同方国芯
sz,002050,三花股份
sz,002051,中工国际
sz,002052,同洲电子
sz,002053,云南盐化
sz,002054,德美化工
sz,002055,得润电子
sz,002056,横店东磁
sz,002057,中钢天源
sz,002058,威 尔 泰
sz,002059,云南旅游
sz,002060,粤 水 电
sz,002061,江山化工
sz,002062,宏润建设
sz,002063,远光软件
sz,002064,华峰氨纶
sz,002065,东华软件
